type,neighborhood,address,price,beds,baths,sqft,url
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Condo,Crown Heights,954 Bergen Street #1C,"$2,300",Studio,1 Bath,440,https://streeteasy.com/building/the-bergen-house/1c
Co-op,Forest Hills,67-30 Clyde Street #5D,"$2,000",1 Bed,1 Bath,NA,https://streeteasy.com/building/67_30-clyde-street-forest_hills/5d
Co-op,Rego Park,64-41 Saunders Street #L4,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/64_41-saunders-street-rego_park/l4
Rental Unit,Fort Hamilton,301 100th Street #E6,"$1,595",Studio,1 Bath,NA,https://streeteasy.com/building/301-100-street-brooklyn/e6
Co-op,Lenox Hill,345 East 77th Street #2I,"$2,200",Studio,1 Bath,NA,https://streeteasy.com/building/345-east-77-street-new_york/2i
Rental Unit,Fort Hamilton,301 100th Street #6E,"$1,599",Studio,1 Bath,NA,https://streeteasy.com/building/301-100-street-brooklyn/6e
Rental Unit,Bensonhurst,8419 19th Avenue #D4,"$1,749",1 Bed,1 Bath,NA,https://streeteasy.com/building/8419-19-avenue-brooklyn/d4
Rental Unit,East Harlem,158 East 102nd Street #4D,"$2,299",1 Bed,1 Bath,791,https://streeteasy.com/building/carnegie-e-102nd/4d
Rental Unit,Fort Greene,253 Cumberland Street #509,"$2,100",Studio,1 Bath,NA,https://streeteasy.com/building/249-cumberland-street-brooklyn/509
Rental Unit,Bensonhurst,8419 19th Avenue #D1,"$1,749",1 Bed,1 Bath,NA,https://streeteasy.com/building/8419-19-avenue-brooklyn/d1
Rental Unit,Washington Heights,626 West 158th Street #3F,"$2,095",Studio,1 Bath,550,https://streeteasy.com/building/626-west-158-street-new_york/3f
Rental Unit,Manhattanville,3333C Broadway #C5B,"$2,575",Studio,1 Bath,NA,https://streeteasy.com/building/3333c-broadway-manhattanville/c5b?featured=1
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Rental Unit,Astoria,32-06 29th Street #5D,"$2,075",1 Bed,1 Bath,NA,https://streeteasy.com/building/32_02-29-street-astoria/5d
Rental Unit,Weeksville,988 Eastern Parkway #C7,"$1,970",1 Bed,1 Bath,NA,https://streeteasy.com/building/982-eastern-parkway-brooklyn/c7
Rental Unit,Stuyvesant Heights,1875 Atlantic Avenue #3G,"$2,600",Studio,1 Bath,NA,https://streeteasy.com/building/1875-atlantic-avenue-brooklyn/3g
Rental Unit,Sunset Park,864 60th Street #A7,"$1,800",1 Bed,1 Bath,NA,https://streeteasy.com/building/864-60-street-brooklyn/a7
Rental Unit,Fort Hamilton,302 Marine Avenue #C11,"$1,795",1 Bed,1 Bath,NA,https://streeteasy.com/building/302-marine-avenue-brooklyn/c11
Rental Unit,Astoria,34-46 Vernon Boulevard #218,"$2,375",Studio,1 Bath,500,https://streeteasy.com/building/vordonia-towers/218
Rental Unit,South Harlem,454 Manhattan Avenue #4KK,"$2,695",Studio,1 Bath,NA,https://streeteasy.com/building/susans-court/4kk
Co-op,Forest Hills,112-15 72 Road #2,"$2,250",1 Bed,1 Bath,775,https://streeteasy.com/building/112_15-72-road-forest_hills/2
Rental Unit,Kensington,45 Tehama Street #1D,"$2,250",1 Bed,1 Bath,NA,https://streeteasy.com/building/45-tehama-street-brooklyn/1d
Co-op,Prospect Lefferts Gardens,150 Hawthorne Street #7J,"$1,850",Studio,1 Bath,NA,https://streeteasy.com/building/arden-house/7j
House,Kensington,55 Tehama Street #1,"$2,295",1 Bed,1 Bath,NA,https://streeteasy.com/building/55-tehama-street-brooklyn/1
